Timestamp,Latitude,Longitude,Elevation,GPS_Speed,GPS_Direction,GPS_RMC_Valid,Battery_Voltage,Bus_Box_Temperature,Bus_Top_Temperature,Bus_Top_Relative_Humidity,ES642_PM2.5_Concentration,ES642_Air_Flow_Rate,ES642_Internal_Air_Temperature,ES642_Internal_Relative_Humidity,ES642_Internal_Air_Pressure,ES642_Error_Code,2B_Ozone_Concentration,2B_Air_Flow_Rate,2B_Internal_Air_Temperature,2B_Internal_Air_Pressure,2B405_NO_Concentration,2B405_NO2_Concentration,2B405_NOX_Concentration,2B405_Internal_Air_Temperature,2B405_Internal_Air_Pressure,2B405_Air_Flow_Rate,2B405_Cell_O3_Flow_Rate,PM2.5_Data_Flagged,Ozone_Data_Flagged,GPS_Data_Flagged
UTC,ddeg,ddeg,m,m/s,deg,binary,volts,degC,degC,%,ug/m3,L/min,degC,%,hpa,code,ppbv,L/min,degC,hpa,ppbv,ppbv,ppbv,degC,hpa,L/min,mL/min,binary,binary,binary
2022-06-03T16:01:40,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.69,22.55,23.56,25.11,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:01:45,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.55,23.57,24.97,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.00,820.40,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:01:50,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.55,23.58,24.95,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.10,820.40,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:01:55,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.55,23.58,24.96,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.10,819.50,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:00,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.71,22.55,23.58,24.87,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.11,23.20,819.50,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:05,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.55,23.60,24.92,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.20,820.30,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:10,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.98,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.14,23.30,820.20,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:15,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.95,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.40,819.30,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:20,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.92,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.15,23.40,819.20,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:25,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.56,23.61,24.89,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.13,23.40,820.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:30,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.70,22.56,23.61,24.82,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.14,23.50,820.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:35,-9999.000000,-9999.000000,-9999.00,-9999.00,-9999.00,-9999.00,13.69,22.56,23.65,24.82,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2.14,23.60,819.30,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:40,40.765430,-111.908272,1394.80,-9999.00,-9999.00,-9999.00,13.70,22.56,23.61,24.76,3.00,2.00,22.39,23.00,867.70,0.00,-9999.00,2.14,23.60,819.20,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:45,40.765415,-111.908325,1391.30,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.71,4.00,2.00,22.39,23.00,867.50,0.00,-9999.00,2.14,23.70,819.90,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:50,40.765419,-111.908348,1394.90,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.69,4.00,2.00,22.39,23.00,867.40,0.00,-9999.00,2.13,23.70,819.90,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:02:55,40.765427,-111.908356,1396.70,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.69,3.00,2.00,22.39,23.00,867.70,0.00,-9999.00,2.15,23.80,819.10,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
2022-06-03T16:03:00,40.765427,-111.908356,1398.20,-9999.00,-9999.00,-9999.00,13.70,22.56,23.60,24.69,3.00,2.00,22.39,24.00,867.50,0.00,-9999.00,2.15,23.80,819.20,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,0,0,1
