Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,2B405_NO_Concentration_ppbv,2B405_NO2_Concentration_ppbv,2B405_NOX_Concentration_ppbv,2B405_Internal_Air_Temperature_degC,2B405_Internal_Air_Pressure_hpa,2B405_Air_Flow_Rate_L/min,2B405_Cell_O3_Flow_Rate_mL/min,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour
2023-09-05 14:41:05,40.762909,-111.910629,1300.6,0.0,242.7,1.0,13.74,16.08,20.5,58.88,4.0,2.0,15.11,69.0,876.3,0.0,-2.3,1.74,21.2,834.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=41, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,41,14
2023-09-05 14:43:35,40.762939,-111.910759,1300.8,0.0,242.7,1.0,13.22,16.39,20.62,58.55,4.0,2.0,15.5,69.0,876.3,0.0,-3.4,1.74,22.3,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=43, tm_sec=35, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,43,14
2023-09-05 14:46:05,40.762814,-111.910675,1302.0,0.0,146.4,1.0,13.74,16.72,20.76,58.07,2.0,2.0,15.89,67.0,876.3,0.0,5.3,1.73,23.2,834.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=46, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,46,14
2023-09-05 14:48:35,40.762836,-111.91069,1302.1,0.0,146.4,1.0,13.71,17.05,20.9,56.58,2.0,2.0,16.22,65.0,876.3,0.0,0.5,1.74,24.1,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=48, tm_sec=35, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,48,14
2023-09-05 14:51:05,40.762848,-111.910759,1302.6,0.0,146.4,1.0,13.71,17.39,21.0,55.36,2.0,2.0,16.61,63.0,876.5,0.0,-0.5,1.75,24.9,835.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=51, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,51,14
2023-09-05 14:53:35,40.76281,-111.91082,1303.1,0.0,146.4,1.0,13.71,17.73,21.14,56.31,3.0,2.0,17.0,60.0,876.3,0.0,-0.3,1.76,25.7,835.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=53, tm_sec=35, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,53,14
2023-09-05 14:56:05,40.762897,-111.910782,1303.4,0.0,146.4,1.0,13.71,18.06,21.25,55.48,3.0,2.0,17.39,58.0,876.3,0.0,-0.4,1.76,26.4,835.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=56, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,56,14
2023-09-05 14:58:35,40.762856,-111.910744,1303.2,0.0,146.4,1.0,13.71,18.39,21.34,55.18,3.0,2.0,17.78,56.0,876.1,0.0,4.1,1.77,27.1,835.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=14, tm_min=58, tm_sec=35, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,58,14
2023-09-05 15:01:05,40.762878,-111.910919,1303.8,0.0,146.4,1.0,13.68,18.71,21.42,54.7,2.0,2.0,18.11,53.0,876.2,0.0,0.9,1.77,27.7,835.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=15, tm_min=1, tm_sec=5, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,1,15
2023-09-05 15:03:35,40.762867,-111.910812,1303.4,0.0,146.4,1.0,13.68,19.02,21.52,53.78,3.0,2.0,18.5,51.0,876.3,0.0,1.9,1.78,28.4,835.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,1,"time.struct_time(tm_year=2023, tm_mon=9, tm_mday=5, tm_hour=15, tm_min=3, tm_sec=35, tm_wday=1, tm_yday=248, tm_isdst=-1)",2023-09-05,2023,9,248,5,3,15
