Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID
2023-06-01 00:00:00,40.767262,-111.865799,1348.7,0.0,275.8,1.0,13.39,25.76,24.68,20.9,0.9,1.9,3.2,3.8,1.0,27.11,21.1,643.9,0.0,51.5,2.14,37.0,826.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,0,BUS04
2023-06-01 00:30:00,40.764027,-111.90966,1291.8,0.0,175.2,1.0,13.36,26.3,26.92,15.54,1.0,1.8,2.8,3.7,1.0,27.28,19.3,648.2,0.0,6.0,2.12,37.2,832.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=0, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,30,0,BUS04
2023-06-01 01:00:00,40.746124,-111.859505,1325.7,12.45,180.1,1.0,13.36,26.07,23.81,26.56,1.1,2.2,3.9,5.5,1.0,27.5,22.0,643.0,0.0,42.8,2.13,37.5,827.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=1, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,1,BUS04
2023-06-01 01:30:00,40.628761,-111.834091,1371.0,2.16,177.9,1.0,13.39,25.29,23.6,21.6,1.0,1.9,3.2,3.7,1.0,27.11,21.9,643.2,0.0,39.6,2.13,36.9,823.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=1, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,30,1,BUS04
2023-06-01 02:00:00,40.578854,-111.833038,1451.0,0.0,266.0,1.0,13.44,24.29,23.37,20.05,1.9,2.6,3.4,3.7,1.0,26.28,21.0,634.7,0.0,50.1,2.17,36.1,814.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=2, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,2,BUS04
2023-06-01 02:30:00,40.687283,-111.845093,1343.7,13.63,345.2,1.0,13.47,23.81,22.69,23.75,1.1,2.2,4.0,5.0,1.0,25.5,22.7,644.6,0.0,41.7,2.14,35.4,827.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=2, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,30,2,BUS04
2023-06-01 03:00:00,40.767208,-111.876122,1330.2,5.09,269.4,1.0,13.47,23.48,21.91,24.58,1.1,2.0,3.3,4.7,1.0,25.11,23.2,644.2,0.0,51.0,2.13,34.9,828.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=3, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,3,BUS04
2023-06-01 03:30:00,40.761501,-111.910507,1290.7,0.0,164.3,1.0,13.47,23.36,22.52,26.86,1.4,3.1,5.7,7.5,1.0,24.78,26.3,648.5,0.0,37.2,2.13,34.7,832.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=3, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,30,3,BUS04
2023-06-01 04:00:00,40.761692,-111.910408,1277.6,0.0,325.8,1.0,13.45,24.01,23.6,22.53,1.4,3.7,7.3,9.6,1.0,24.89,24.0,648.8,0.0,17.2,2.12,35.1,833.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,0,4,BUS04
2023-06-01 04:34:00,40.760593,-111.910034,1287.1,1.95,11.9,1.0,13.44,23.9,22.9,26.02,2.0,4.5,8.4,11.8,1.0,25.11,24.8,649.0,0.0,12.2,2.1,35.3,833.4,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=6, tm_mday=1, tm_hour=4, tm_min=34, tm_sec=0, tm_wday=3, tm_yday=152, tm_isdst=-1)",2023-06-01,2023,6,152,1,34,4,BUS04
