Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute
2023-07-01 00:00:00,40.703491,-111.977234,1293.5,0.0,181.8,1.0,13.17,31.57,29.47,18.94,1.2,1.4,1.8,2.2,1.0,33.72,18.8,655.6,0.0,62.7,2.13,42.8,842.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 00:30:00,40.692959,-111.965454,1302.1,11.16,269.1,1.0,13.21,31.31,29.96,18.78,1.2,1.5,1.8,2.3,1.0,33.22,18.8,655.4,0.0,65.4,2.13,42.4,841.8,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=0, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,30
2023-07-01 01:00:00,40.726143,-111.93898,1300.2,0.0,179.2,1.0,13.21,30.69,29.4,17.38,1.8,2.5,3.3,4.1,1.0,32.78,18.5,655.7,0.0,53.9,2.12,41.9,842.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=1, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 01:30:00,40.764309,-111.909889,1279.0,0.0,163.0,1.0,13.22,30.48,30.52,18.44,1.4,1.8,2.3,3.3,1.0,32.39,20.4,655.9,0.0,50.9,2.13,41.4,842.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=1, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,30
2023-07-01 02:00:00,40.733223,-111.940575,1284.8,7.72,271.8,1.0,13.21,30.17,28.1,20.51,1.4,1.7,2.2,3.6,1.0,32.11,20.5,655.8,0.0,54.4,2.12,41.4,842.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=2, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 02:30:00,40.693401,-111.960617,1304.4,0.0,206.5,1.0,13.25,29.18,27.46,21.63,1.5,2.0,3.0,3.8,1.0,31.39,20.8,655.5,0.0,56.9,2.11,40.6,842.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=2, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,30
2023-07-01 03:00:00,40.692921,-111.963936,1305.2,10.7,269.7,1.0,13.33,28.08,26.23,24.26,1.7,2.5,3.5,4.3,1.0,30.22,22.4,655.6,0.0,49.2,2.14,39.7,842.2,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=3, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 03:30:00,40.727772,-111.939056,1302.7,13.99,178.9,1.0,13.33,27.49,26.47,23.82,1.5,2.0,2.8,3.5,1.0,29.39,23.5,656.2,0.0,54.8,2.12,38.8,843.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=3, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,30
2023-07-01 04:00:00,40.761372,-111.910362,1297.1,0.0,152.7,1.0,13.36,26.81,25.35,32.01,2.1,3.4,5.5,8.4,1.0,28.72,28.4,656.5,0.0,44.1,2.12,38.2,843.6,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,0
2023-07-01 04:30:00,40.761543,-111.910767,1292.9,0.0,343.3,1.0,13.33,27.23,26.35,29.19,2.0,3.3,5.6,8.1,1.0,28.61,28.1,656.6,0.0,41.1,2.11,38.2,843.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=4, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,30
2023-07-01 05:08:00,40.762833,-111.910866,1298.7,0.46,47.8,1.0,13.35,26.78,26.27,30.25,1.8,2.1,2.7,3.4,1.0,28.0,29.4,656.8,0.0,5.1,2.1,37.6,844.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=5, tm_min=8, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,8
2023-07-01 05:38:00,40.762901,-111.910995,1297.2,0.46,151.7,1.0,13.33,27.58,26.96,27.83,1.8,2.1,2.6,2.9,1.0,28.5,27.8,656.7,0.0,12.6,2.11,38.3,843.9,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=5, tm_min=38, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,38
2023-07-01 06:36:00,40.776241,-111.910698,1295.9,28.76,181.9,1.0,13.39,26.01,22.36,35.18,3.5,4.8,7.1,9.3,1.0,28.0,30.0,656.6,0.0,31.2,2.12,36.4,843.1,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=6, tm_min=36, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,36
2023-07-01 07:08:00,40.761578,-111.910583,1277.4,0.0,271.3,1.0,13.42,24.97,23.05,35.39,2.4,3.3,4.8,6.6,1.0,26.89,27.7,656.8,0.0,44.7,2.11,36.2,844.0,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=1, tm_hour=7, tm_min=8, tm_sec=0, tm_wday=5, tm_yday=182, tm_isdst=-1)",2023-07-01,2023,7,182,1,8
2023-07-03 11:26:00,40.761528,-111.910789,1252.6,0.0,6.2,1.0,13.38,25.74,24.26,27.98,2.8,3.7,5.1,6.3,1.0,26.11,27.1,653.8,0.0,25.8,2.08,34.2,840.7,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=3, tm_hour=11, tm_min=26, tm_sec=0, tm_wday=0, tm_yday=184, tm_isdst=-1)",2023-07-03,2023,7,184,3,26
2023-07-03 11:56:00,40.693371,-111.960587,1298.4,0.0,191.3,1.0,13.42,24.78,22.42,37.91,2.9,3.8,5.6,7.6,1.0,26.5,27.0,653.3,0.0,23.4,2.11,35.6,840.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=3, tm_hour=11, tm_min=56, tm_sec=0, tm_wday=0, tm_yday=184, tm_isdst=-1)",2023-07-03,2023,7,184,3,56
2023-07-03 12:26:00,40.732609,-111.93924,1295.5,1.03,153.3,1.0,13.41,23.73,22.22,40.99,6.7,8.8,11.6,15.1,1.0,26.0,27.3,653.9,0.0,17.3,2.1,35.1,840.9,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=3, tm_hour=12, tm_min=26, tm_sec=0, tm_wday=0, tm_yday=184, tm_isdst=-1)",2023-07-03,2023,7,184,3,26
2023-07-03 12:56:00,40.764027,-111.909683,1294.6,0.0,170.8,1.0,13.48,23.47,22.3,35.04,3.0,4.0,5.6,6.8,1.0,25.5,29.1,654.0,0.0,18.8,2.09,34.8,841.2,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=3, tm_hour=12, tm_min=56, tm_sec=0, tm_wday=0, tm_yday=184, tm_isdst=-1)",2023-07-03,2023,7,184,3,56
2023-07-03 13:26:00,40.74004,-111.917015,1280.2,0.0,185.8,1.0,13.44,23.35,22.76,41.84,3.3,4.9,8.3,12.8,1.0,25.22,31.2,654.2,0.0,21.6,2.09,34.5,841.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=7, tm_mday=3, tm_hour=13, tm_min=26, tm_sec=0, tm_wday=0, tm_yday=184, tm_isdst=-1)",2023-07-03,2023,7,184,3,26
