Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,GPS_Speed_m/s,GPS_Direction_deg,GPS_RMC_Valid_binary,Battery_Voltage_volts,Bus_Box_Temperature_degC,Bus_Top_Temperature_degC,Bus_Top_Relative_Humidity_%,ES405_PM1_Concentration_ug/m3,ES405_PM2.5_Concentration_ug/m3,ES405_PM4_Concentration_ug/m3,ES405_PM10_Concentration_ug/m3,ES405_Air_Flow_Rate_L/min,ES405_Internal_Air_Temperature_degC,ES405_Internal_Relative_Humidity_%,ES405_Internal_Air_Pressure_hpa,ES405_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,GPS_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2023-08-01 16:57:00,40.760719,-111.914848,1294.2,11.11,268.2,1.0,13.32,27.63,27.73,38.06,2.6,4.1,6.1,11.5,1.0,27.0,33.5,657.5,0.0,46.9,1.89,28.8,840.8,0.0,0,1,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=16, tm_min=57, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,57,16,BUS05,Good,< 12.00,4.00 - 6.00
2023-08-01 17:27:00,40.723259,-111.919922,1298.7,0.0,101.3,1.0,13.27,29.1,29.24,35.51,2.0,3.0,4.1,7.4,1.0,30.39,27.2,657.1,0.0,47.2,1.99,36.5,840.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=27, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,27,17,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 17:57:00,40.723297,-111.919991,1298.4,0.0,107.8,1.0,13.19,31.64,31.4,32.78,2.0,3.1,4.4,7.5,1.0,32.72,28.5,656.9,0.0,53.7,2.0,39.9,839.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=57, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,57,17,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 18:27:00,40.723293,-111.919998,1297.9,0.0,107.8,1.0,13.13,33.55,31.61,31.53,2.3,3.4,5.1,9.2,1.0,34.72,28.2,656.7,0.0,53.6,2.03,42.3,839.4,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=27, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,27,18,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 19:52:00,40.72324,-111.919029,1298.4,0.0,259.7,1.0,13.16,32.86,30.8,34.17,1.8,2.9,4.1,4.9,1.0,35.22,26.3,656.2,0.0,44.9,2.01,41.0,838.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=52, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,52,19,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 20:22:00,40.723259,-111.919037,1299.7,0.0,259.7,1.0,13.16,33.18,29.62,34.84,1.8,2.8,4.1,6.5,1.0,35.39,29.5,656.0,0.0,47.8,2.01,42.0,838.5,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=22, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,22,20,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 20:52:00,40.718201,-111.872108,1314.5,0.0,96.2,1.0,13.13,34.21,32.04,26.54,3.2,4.8,7.1,11.0,1.0,36.11,24.8,654.5,0.0,59.8,2.04,43.2,836.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=52, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,52,20,BUS05,Good,< 12.00,4.00 - 6.00
2023-08-01 21:22:00,40.742294,-111.871284,1308.2,4.48,179.7,1.0,13.11,34.93,31.87,25.88,1.8,2.9,4.5,6.3,1.0,36.72,24.8,654.4,0.0,63.1,2.03,44.1,836.1,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=22, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,22,21,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 21:52:00,40.726048,-111.871315,1314.4,0.0,180.4,1.0,13.08,36.33,33.52,23.95,2.0,2.9,4.1,5.6,1.0,37.72,23.2,653.6,0.0,62.8,2.07,45.2,834.7,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=52, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,52,21,BUS05,Good,< 12.00,2.00 - 4.00
2023-08-01 22:22:00,40.760769,-111.86953,1324.3,6.17,270.0,1.0,13.08,35.77,31.88,26.91,1.7,2.7,4.3,7.4,1.0,38.0,23.0,652.4,0.0,56.1,2.07,45.2,834.0,0.0,0,0,"time.struct_time(tm_year=2023, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=22, tm_sec=0, tm_wday=1, tm_yday=213, tm_isdst=-1)",2023-08-01,2023,8,213,1,22,22,BUS05,Good,< 12.00,2.00 - 4.00
