Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2022-12-01 00:00:00,40.722881,-111.919205,1296.5,13.56,24.81,12.16,22.11,3.0,2.0,19.11,12.0,868.0,0.0,1.6,1.58,38.4,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,0,0,TRX02,Good,< 12.00,2.00 - 4.00
2022-12-01 00:01:00,40.722828,-111.919464,1293.7,13.55,24.84,12.36,22.18,5.0,2.0,19.0,12.0,867.8,0.0,2.6,1.58,38.5,834.2,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=1, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,1,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:02:00,40.723034,-111.919304,1287.5,13.56,24.87,12.33,22.21,5.0,2.0,18.89,12.0,867.9,0.0,0.5,1.58,38.5,834.2,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=2, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,2,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:03:00,40.722931,-111.919487,1291.0,13.56,24.89,12.33,22.11,4.0,2.0,18.89,12.0,867.9,0.0,0.3,1.61,38.6,834.2,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=3, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,3,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:04:00,40.722942,-111.919456,1289.4,13.56,24.92,12.19,22.04,5.0,2.0,18.89,12.0,868.0,0.0,3.5,1.59,38.6,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=4, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,4,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:05:00,40.722977,-111.919327,1290.3,13.56,24.98,11.96,22.11,3.0,2.0,18.89,12.0,867.9,0.0,3.7,1.58,38.7,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,5,0,TRX02,Good,< 12.00,2.00 - 4.00
2022-12-01 00:06:00,40.723095,-111.919586,1289.0,13.55,24.98,12.09,22.24,4.0,2.0,19.0,12.0,867.9,0.0,1.4,1.59,38.7,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=6, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,6,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:07:00,40.722965,-111.919388,1303.5,13.56,25.04,12.09,22.31,4.0,2.0,18.89,11.0,868.0,0.0,3.9,1.57,38.8,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=7, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,7,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:08:00,40.722977,-111.919418,1308.2,13.55,25.04,12.12,22.07,3.0,2.0,18.89,11.0,867.9,0.0,4.2,1.57,38.8,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=8, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,8,0,TRX02,Good,< 12.00,2.00 - 4.00
2022-12-01 00:09:00,40.722916,-111.919464,1309.9,13.56,25.1,12.53,22.24,4.0,2.0,18.89,11.0,868.0,0.0,0.6,1.56,38.9,834.4,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=9, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,9,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:10:00,40.723019,-111.919121,1306.3,13.56,25.13,12.09,22.11,5.0,2.0,18.89,11.0,868.2,0.0,4.9,1.58,38.9,834.4,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,10,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:11:00,40.723232,-111.919266,1304.1,13.56,25.16,12.23,22.21,4.0,2.0,18.72,11.0,868.1,0.0,3.0,1.57,39.0,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=11, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,11,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:12:00,40.723057,-111.919243,1298.5,13.56,25.16,12.16,22.24,3.0,2.0,18.5,11.0,868.0,0.0,3.0,1.57,39.0,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=12, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,12,0,TRX02,Good,< 12.00,2.00 - 4.00
2022-12-01 00:13:00,40.72311,-111.91922,1287.5,13.53,25.22,12.12,22.11,5.0,2.0,18.11,11.0,867.9,0.0,2.9,1.58,39.0,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=13, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,13,0,TRX02,Good,< 12.00,4.00 - 6.00
2022-12-01 00:14:00,40.722912,-111.919289,1285.1,13.52,25.22,12.19,22.07,4.0,2.0,20.39,11.0,868.1,0.0,1.7,1.56,39.1,834.3,0,0,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=14, tm_sec=0, tm_wday=3, tm_yday=335, tm_isdst=-1)",2022-12-01,2022,12,335,1,14,0,TRX02,Good,< 12.00,4.00 - 6.00
